CaseUniqueId,CaseNodeId,CaseReference,EnvironmentalStatementReceived,DevelopmentCodes
3217499,30019296,S62A/2018/0001,0,NULL
3299621,47666450,S62A/2022/0002,0,Q1 Dwellings
3299676,47687427,S62A/2022/0003,0,NULL
3299677,47687098,S62A/2022/0004,0,NULL
3302145,48186011,S62A/2022/0005,0,NULL
3302195,48191557,S62A/2022/0006,1,Q6 All Other Largescale Major Developments
3304231,48602178,S62A/2022/0007,0,NULL
3304712,48694926,S62A/2022/0008,0,NULL
3304713,48695239,S62A/2022/0009,0,NULL
3306318,49053582,S62A/2022/0010,0,NULL
3307113,49206759,S62A/2022/0011,1,NULL
3308111,49419637,S62A/2022/0012,0,NULL
3308658,49521922,S62A/2022/0013,0,NULL
3312130,50231527,S62A/2022/0014,0,NULL
3315672,51013116,S62A/2023/0015,0,NULL
3319907,51916497,S62A/2023/0016,0,NULL
3319999,51937925,S62A/2023/0017,0,Q3 General Industry / Storage / Warehousing
3320120,51968439,S62A/2023/0018,0,NULL
3324434,52887835,S62A/2023/0019,0,NULL
3325259,53087260,S62A/2023/0020,0,NULL
3326157,53280239,S62A/2023/0021,0,Q1 Dwellings
3326935,53448038,S62A/2023/0022,0,NULL
3328288,53737478,S62A/2023/0023,0,NULL
3329554,54018500,S62A/2023/0024,0,NULL
3331210,54383533,S62A/2023/0025,0,NULL
3331286,54403436,S62A/2023/0026,0,NULL
3331617,54474698,S62A/2023/0027,0,Q1 Dwellings
3332644,54724677,S62A/2023/0028,0,NULL
3334060,55047106,S62A/2023/0029,0,NULL
3334582,55156834,S62A/2023/0030,0,Q1 Dwellings
3334584,55155356,S62A/2023/0031,0,Q1 Dwellings
3336795,55621655,S62A/2024/0032,0,Q1 Dwellings
3338453,55991839,S62A/2024/0033,0,NULL
3340881,56525542,S62A/2024/0034,0,Q18 All Other Minor Developments
3341124,56582935,S62A/2024/0035,0,Q1 Dwellings
3341246,56607516,S62A/2024/0038,0,NULL
3341247,56606826,S62A/2024/0039,0,Q20 Change of Use
3341452,56658251,S62A/2024/0040,0,Q18 All Other Minor Developments
3343084,57051113,S62A/2024/0041,0,Q20 Change of Use
3343222,57077269,S62A/2024/0042,0,Q23 Listed Building Consents (to alter/extend)
3343736,57194970,S62A/2024/0043,0,Q20 Change of Use
3344956,57473948,S62A/2024/0044,0,Q13 Dwellings
3345139,57520228,S62A/2024/0045,0,Q6 All Other Largescale Major Developments
3345559,###############################################################################################################################################################################################################################################################,S62A/2024/0046,0,Q13 Dwellings
3346342,57766416,S62A/2024/0047,0,Q20 Change of Use
3346437,57791244,S62A/2024/0048,0,Q13 Dwellings
3346773,57862549,S62A/2024/0049,0,Q1 Dwellings
3346778,57863213,S62A/2024/0050,0,Q20 Change of Use
3347363,58009481,S62A/2024/0051,0,Q1 Dwellings
3347426,58022819,S62A/2024/0052,0,NULL
3347485,58036703,S62A/2024/0053,0,Q18 All Other Minor Developments
3347751,58090825,S62A/2024/0054,0,Q13 Dwellings
3347982,58145337,S62A/2024/0055,0,Q18 All Other Minor Developments
3348339,58221735,S62A/2024/0056,0,Q16 Retail and Service
3348598,58278364,S62A/2024/0057,0,Q1 Dwellings
3349259,58416908,S62A/2024/0058,0,Q1 Dwellings
3350786,58755851,S62A/2024/0059,0,Q18 All Other Minor Developments
3351146,58828961,S62A/2024/0060,0,Q13 Dwellings
3351641,58938529,S62A/2024/0061,0,Q20 Change of Use
3352232,59081192,S62A/2024/0062,0,Q18 All Other Minor Developments
3352726,59179698,S62A/2024/0063,0,Q18 All Other Minor Developments
3352831,59217545,S62A/2024/0064,0,Q13 Dwellings
3353379,59351210,S62A/2024/0065,0,Q18 All Other Minor Developments
3353400,59357920,S62A/2024/0066,0,Q13 Dwellings
3353576,59393215,S62A/2024/0069,0,Q20 Change of Use
3354625,59654772,S62A/2024/0070,0,Q16 Retail and Service
3354954,59734769,S62A/2024/0071,0,Q18 All Other Minor Developments
3354970,59737373,S62A/2024/0072,0,Q13 Dwellings
3356346,60055854,S62A/2024/0073,0,Q18 All Other Minor Developments
3357271,60267979,S62A/2024/0074,0,Q1 Dwellings
3357844,60418105,S62A/2024/0075,0,NULL
3358488,60575261,S62A/2025/0076,0,Q13 Dwellings
3358911,60670811,S62A/2025/0077,0,Q1 Dwellings
3359892,60912700,S62A/2025/0078,0,Q18 All Other Minor Developments
3359924,60920269,S62A/2025/0079,0,Q13 Dwellings
3360113,60971760,S62A/2025/0080,0,Q13 Dwellings
3360292,61010473,S62A/2025/0081,0,Q20 Change of Use
3360299,61009201,S62A/2025/0082,0,Q13 Dwellings
3360374,61025737,S62A/2025/0083,0,NULL
3360501,61058539,S62A/2025/0084,0,Q13 Dwellings
3360671,61099991,S62A/2025/0085,0,Q20 Change of Use
3360801,61126851,S62A/2025/0086,0,NULL
3361110,61205830,S62A/2025/0087,0,Q13 Dwellings
3361117,61207413,S62A/2025/0088,0,Q20 Change of Use
3361296,61248526,S62A/2025/0089,0,NULL
3361506,61294696,S62A/2025/0090,0,NULL
3361514,###############################################################################################################################################################################################################################################################,S62A/2025/0091,0,NULL
3361610,61324081,S62A/2025/0092,0,NULL
3361740,61359380,S62A/2025/0093,0,Q13 Dwellings
3361741,61358613,S62A/2025/0094,0,Q18 All Other Minor Developments
3362542,61579215,S62A/2025/0095,0,NULL
3362717,61617805,S62A/2025/0096,0,Q20 Change of Use
3362803,61622904,S62A/2025/0097,0,Q20 Change of Use
3363062,61689371,S62A/2025/0098,0,NULL
3363190,61727890,S62A/2025/0099,0,Q6 All Other Largescale Major Developments
3364167,61960454,S62A/2025/0100,0,NULL
3364272,61988727,S62A/2025/0101,0,NULL
3364562,62035360,S62A/2025/0102,0,Q20 Change of Use
3364586,62031925,S62A/2025/0103,0,Q20 Change of Use
3364589,62049112,S62A/2025/0104,0,Q20 Change of Use
3365002,62132889,S62A/2025/0105,0,Q13 Dwellings
3365009,62132629,S62A/2025/0106,0,Q13 Dwellings
3365517,62245304,S62A/2025/0107,0,Q1 Dwellings
3365940,62338213,S62A/2025/0108,0,Q13 Dwellings
3366773,62502509,S62A/2025/0109,0,Q20 Change of Use
3367512,62667044,S62A/2025/0110,0,Q13 Dwellings
3367902,62759342,S62A/2025/0111,0,Q18 All Other Minor Developments
3369181,63074771,S62A/2025/0112,0,Q13 Dwellings
3369242,63090056,S62A/2025/0113,0,Q25 Relevant Demolition in a Conservation Area
3369640,63172228,S62A/2025/0114,0,Q13 Dwellings
3370226,63299694,S62A/2025/0115,0,Q18 All Other Minor Developments
3370385,63336577,S62A/2025/0116,0,Q13 Dwellings
3370418,63346283,S62A/2025/0117,0,Q13 Dwellings
3370511,63357980,S62A/2025/0118,0,Q20 Change of Use
3371324,63513649,S62A/2025/0119,0,Q20 Change of Use
3372002,63645447,S62A/2025/0120,0,Q13 Dwellings
3372455,63711532,S62A/2025/0121,0,Q13 Dwellings
3372727,63774585,S62A/2025/0122,0,Q14 Offices / R & D / Light Industry
3372814,63797785,S62A/2025/0123,0,NULL
3373019,63843192,S62A/2025/0124,0,Q13 Dwellings
3373031,63843889,S62A/2025/0125,0,Q20 Change of Use
3373065,63841099,S62A/2025/0126,0,Q13 Dwellings
3373422,63924674,S62A/2025/0127,0,NULL
3373427,63926823,S62A/2025/0128,0,NULL
3373769,63987613,S62A/2025/0129,0,Q20 Change of Use
3374024,64046274,S62A/2025/0130,0,NULL
3374574,64180342,S62A/2025/0131,0,Q13 Dwellings
3374612,64192138,S62A/2025/0132,0,Q18 All Other Minor Developments
3374641,64199315,S62A/2025/0133,0,Q18 All Other Minor Developments
3374771,64238131,S62A/2025/0134,0,Q18 All Other Minor Developments
3374821,64244897,S62A/2025/0135,0,Q13 Dwellings
3374895,64264576,S62A/2025/0136,0,Q18 All Other Minor Developments
3375423,64396048,S62A/2025/0137,0,Q18 All Other Minor Developments
3375478,64409332,S62A/2025/0138,0,Q20 Change of Use
3375640,64450979,S62A/2025/0139,0,Q13 Dwellings
3376036,64547079,S62A/2025/0140,0,Q18 All Other Minor Developments
3376150,64575130,S62A/2025/0141,0,Q20 Change of Use
3376198,64594131,S62A/2025/0142,0,NULL
3376225,64603752,S62A/2025/0143,0,NULL
3376610,64696447,S62A/2025/0144,0,NULL
3376737,64741642,S62A/2025/0145,0,Q20 Change of Use
3376738,64740399,S62A/2025/0146,0,NULL
3376849,64784160,S62A/2025/0147,0,NULL
3376904,64797778,S62A/2025/0148,0,NULL
3377086,64834926,S62A/2025/0149,0,NULL
3377096,64839260,S62A/2025/0150,0,NULL
3377128,64848865,S62A/2025/0151,0,Q13 Dwellings
3377230,64905139,S62A/2026/0152,0,NULL
