CaseUniqueId,CaseNodeId,CaseReference,ApplicationFeeNotes,ApplicationFeeReceivedDate,RefundPaidDate,ApplicationFeeDue,ApplicationFeeReceived,RefundAmount
3153419,16780598,S62A/2014/0001,NULL,22/04/2014,NULL,26662,26662,NULL
3153433,16784769,S62A/2015/0002,Note need to refund as PINS declined to determine the application,30/09/2015,NULL,4620,4620,4620
3299621,47666450,S62A/2022/0002,NULL,21/04/2022,NULL,"£24,239 ","£24,239 ",NULL
3299677,47687098,S62A/2022/0004,overpaid by £32.20 as portal admin fee included by applicant.  Refund offered.,01/06/2022,NULL,47009,47041.2,NULL
3302145,48186011,S62A/2022/0005,NULL,13/09/2022,NULL,"£6,930 ","£6,930 ",NULL
3302195,48191557,S62A/2022/0006,NULL,29/07/2022,NULL,"£114,767 ","£114,767 ",NULL
3304231,48602178,S62A/2022/0007,NULL,12/08/2022,NULL,"£15,296 ","£15,296 ",NULL
3307113,49206759,S62A/2022/0011,Plant and machinery 76.39 ha,20/10/2022,NULL,"£121,391 ","£121,391 ",NULL
3308111,49419637,S62A/2022/0012,NULL,13/10/2022,NULL,23434,23438,NULL
3308658,49521922,S62A/2022/0013,NULL,NULL,NULL,"£4,996.50 ","£4,996.50 ",NULL
3312130,50231527,S62A/2022/0014,"£19,574 ",NULL,NULL,NULL,"£19,574 ",NULL
3315672,51013116,S62A/2023/0015,NULL,14/02/2023,NULL,"10,626.00","10,626.00",NULL
3319907,51916497,S62A/2023/0016,NULL,NULL,NULL,NULL,18480,NULL
3320120,51968439,S62A/2023/0018,NULL,NULL,NULL,NULL,"4,620",NULL
3324434,52887835,S62A/2023/0019,NULL,NULL,NULL,29207,29.207.00,NULL
3326157,53280239,S62A/2023/0021,NULL,31/07/2023,NULL,38039,38039,NULL
3326935,53448038,S62A/2023/0022,NULL,03/08/2023,NULL,"£112,559.00 ","£112,559.00 ",NULL
3328288,53737478,S62A/2023/0023,NULL,04/10/2023,NULL,"£2,310 ","£2,310 ",NULL
3331210,54383533,S62A/2023/0025,NULL,25/10/2023,NULL,NULL,"£6,468 ",NULL
3331286,54403436,S62A/2023/0026,NULL,NULL,NULL,NULL,"£10,626 ",NULL
3332644,54724677,S62A/2023/0028,NULL,17/11/2023,NULL,"£11,550.00 ","£11,550.00 ",NULL
3334582,55156834,S62A/2023/0030,NULL,10/01/2024,NULL,NULL,8112,NULL
3334584,55155356,S62A/2023/0031,based on pre 6 Dec increase due to application being received on 5 Dec and all valid.,NULL,NULL,"13,916.00","13,916.00",NULL
3336795,55621655,S62A/2024/0032,NULL,NULL,NULL,NULL,5202,NULL
3341247,56606826,S62A/2024/0039,NULL,03/04/2024,NULL,£528 ,528,NULL
3341452,56658251,S62A/2024/0040,NULL,04/04/2024,NULL,578,578,NULL
3343084,57051113,S62A/2024/0041,NULL,01/05/2024,NULL,578,578,NULL
3343736,57194970,S62A/2024/0043,NULL,15/05/2024,00:00.0,578,578,578
3344956,57473948,S62A/2024/0044,NULL,24/06/2024,NULL,578,578,NULL
3345139,57520228,S62A/2024/0045,NULL,20/06/2024,NULL,"£84,056.00 ","£84,056.00 ",NULL
3345559,57611120,S62A/2024/0046,NULL,NULL,NULL,578,578,NULL
3346342,57766416,S62A/2024/0047,NULL,01/07/2024,NULL,£578.00 ,£578.00 ,NULL
3346437,57791244,S62A/2024/0048,NULL,NULL,NULL,£578.00 ,£578.00 ,NULL
3346773,57862549,S62A/2024/0049,NULL,01/07/2024,NULL,"£31,200.00 ","£31,200.00 ",NULL
3346778,57863213,S62A/2024/0050,NULL,28/06/2024,NULL,578,578,NULL
3347363,58009481,S62A/2024/0051,NULL,19/07/2024,NULL,£578 ,£578 ,NULL
3347426,58022819,S62A/2024/0052,28 Insp hours @ £134 per hour,NULL,NULL,NULL,NULL,NULL
3347485,58036703,S62A/2024/0053,NULL,NULL,NULL,293,293,NULL
3347751,58090825,S62A/2024/0054,NULL,NULL,NULL,£578.00 ,£578.00 ,NULL
3347982,58145337,S62A/2024/0055,NULL,26/07/2024,NULL,£293 ,£293 ,NULL
3348339,58221735,S62A/2024/0056,NULL,25/07/2024,NULL,£293 ,£293 ,NULL
3348598,58278364,S62A/2024/0057,NULL,02/08/2024,NULL,"£38,486 ","£38,486 ",NULL
3349259,58416908,S62A/2024/0058,Details of who will pay fee in covering email 1  ,27/08/2024,NULL,"£9,984 ","£9,984 ",NULL
3350786,,S62A/2024/0059,NULL,NULL,NULL,£293.00 ,£293.00 ,NULL
3351146,58828961,S62A/2024/0060,NULL,22/11/2024,NULL,"£2,890.00 ","£2,890.00 ",NULL
3351641,58938529,S62A/2024/0061,NULL,25/09/2024,NULL,£578.00 ,£578.00 ,NULL
3352232,59081192,S62A/2024/0062,NULL,02/10/2024,NULL,£293.00 ,£293.00 ,NULL
3352726,59179698,S62A/2024/0063,NULL,11/10/2024,NULL,£293.00 ,£293.00 ,NULL
3352831,59217545,S62A/2024/0064,NULL,NULL,NULL,£578 ,£578 ,NULL
3353379,59351210,S62A/2024/0065,Other operations category,18/10/2024,NULL,"£1,172 ","£1,172 ",NULL
3353400,59357920,S62A/2024/0066,New dwelling houses category,NULL,NULL,£578 ,£578 ,NULL
3353576,59393215,S62A/2024/0069,NULL,NULL,NULL,£578 ,£578 ,NULL
3354625,59654772,S62A/2024/0070,NULL,12/11/2024,NULL,"£2,890.00 ","£2,890.00 ",NULL
3354954,59734769,S62A/2024/0071,NULL,18/11/2024,NULL,£293.00 ,£293.00 ,NULL
3354970,59737373,S62A/2024/0072,NULL,18/11/2024,NULL,£578.00 ,£578.00 ,NULL
3356346,60055854,S62A/2024/0073,NULL,12/12/2024,NULL,"£1,465.00 ","£1,465.00 ",NULL
3357271,60267979,S62A/2024/0074,pre-app fee 37.25 hours,NULL,NULL,"£4,991.50 ","£4,991.50 ",NULL
3357844,60418105,S62A/2024/0075,NULL,20/01/2025,NULL,"£31,790.00 ","£31,790.00 ",NULL
3358488,60575261,S62A/2025/0076,NULL,NULL,NULL,"£5,202.00 ","£5,202.00 ",NULL
