CaseUniqueId,CaseNodeId,CaseReference,StartDate,EndDate,HearingVenueAddress,Notes
3299621,47666450,S62A/2022/0002,25/08/2022,25/08/2022,"Council Chamber, Uttlesford District Council, London Road, Saffron Walden, CB11 4ER",NULL
3299677,47687098,S62A/2022/0004,09/08/2022,09/08/2022,"Council Chamber, London Road, Saffron Walden, CB11 4ER",10.00 start
3302195,48191557,S62A/2022/0006,26/03/2024,NULL,"Council Chamber, Uttlesford District Council, London Road, Saffron Walden, CB11 4ER",NULL
3304231,48602178,S62A/2022/0007,10/05/2023,NULL,"Albury Suite at Novotel London Stansted Airport, Round Coppice Road, CM24 1SF STANSTED.",10.00am start.  applicant provided venue
3308111,49419637,S62A/2022/0012,12/12/2022,NULL,"Council Chamber, Uttlesford District Council, London Road, Saffron Walden, CB11 4ER",10.00am
3312130,50231527,S62A/2022/0014,28/04/2023,NULL,"Saffron Quakers Hall, Friends Meeting House High Street, Saffron Walden CB10 1AA",10.00am start.  Applicant providing venue
3319907,51916497,S62A/2023/0016,25/07/2023,25/07/2023,"Council Chamber
Uttlesford DC",NULL
3319999,51937925,S62A/2023/0017,13/07/2023,13/07/2023,"Council Chamber
Uttlesford District Council
London Road
Saffron Walden
CB11 4ER",NULL
3324434,52887835,S62A/2023/0019,06/02/2025,06/02/2025,"Council Chamber, Uttlesford District Council, London Road, Saffron Walden, CB11 4ER",NULL
3326157,53280239,S62A/2023/0021,22/02/2024,22/02/2024,"Council Chamber, Uttlesford District Council, London Road, Saffron Walden, CB11 4ER",NULL
3326935,53448038,S62A/2023/0022,17/10/2023,NULL,"Council Chamber, Uttlesford District Council, London Road, Saffron Walden, CB11 4ER",NULL
3328288,53737478,S62A/2023/0023,20/02/2024,20/02/2024,"Council Chamber, Uttlesford District Council, London Road, Saffron Walden, Essex, CB11 4ER",NULL
3331210,54383533,S62A/2023/0025,01/02/2024,01/02/2024,"Council Chamber, Uttlesford District Council, London Road, Saffron Walden, CB11 4ER",NULL
3331286,54403436,S62A/2023/0026,06/02/2024,06/02/2024,"Council Chamber, Uttlesford District Council, London Road, Saffron Walden, Essex, CB11 4ER",NULL
3331617,54474698,S62A/2023/0027,13/02/2024,13/02/2024,"Council Chamber, Uttlesford District Council, London Road, Saffron Walden, CB11 4ER",NULL
3334582,55156834,S62A/2023/0030,10/05/2024,10/05/2024,"Council Chamber, Uttlesford District Council, London Road, Saffron Walden, CB11 4ER",NULL
3336795,55621655,S62A/2024/0032,09/05/2024,09/05/2024,"Council Chamber, Uttlesford District Council, London Road, Saffron Walden, CB11 4ER",NULL
3345139,57520228,S62A/2024/0045,29/08/2024,29/08/2024,Uttlesford Council Chamber,NULL
3365517,62245304,S62A/2025/0107,08/08/2025,08/08/2025,"Council Chamber, Uttlesford District Council, London Road, Saffron Walden, CB11 4ER.",NULL
