CaseReference,CaseNodeId,DocumentID,DocumentReferenceNumber,WebsiteDateOverride,Publish,DocumentType,Comment
S62A/2014/0001,16780598,16772912,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772913,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772914,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772915,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772916,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772917,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772918,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772919,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772920,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772921,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772922,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772924,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772925,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772926,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772927,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772928,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772929,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772930,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772931,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772932,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772933,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772934,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772935,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772936,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772937,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772938,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772939,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772941,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772942,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16772943,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16780598,NULL,NULL,Not Published,NULL,NULL
S62A/2014/0001,16780598,16780600,NULL,NULL,Not Published,NULL,NULL
S62A/2014/0001,16780598,16780601,NULL,NULL,Not Published,NULL,NULL
S62A/2014/0001,16780598,16780602,NULL,NULL,Not Published,NULL,NULL
S62A/2014/0001,16780598,16780603,NULL,NULL,Not Published,NULL,NULL
S62A/2014/0001,16780598,16780604,NULL,NULL,Not Published,NULL,NULL
S62A/2014/0001,16780598,16780605,NULL,NULL,Not Published,NULL,NULL
S62A/2014/0001,16780598,16780606,NULL,NULL,Not Published,NULL,NULL
S62A/2014/0001,16780598,16780607,NULL,NULL,Not Published,NULL,NULL
S62A/2014/0001,16780598,16783542,NULL,NULL,Not Published,NULL,NULL
S62A/2014/0001,16780598,16783543,NULL,NULL,Not Published,NULL,NULL
S62A/2014/0001,16780598,16783544,NULL,NULL,Not Published,NULL,NULL
S62A/2014/0001,16780598,16783546,NULL,NULL,Not Published,NULL,NULL
S62A/2014/0001,16780598,16783547,NULL,NULL,Not Published,NULL,NULL
S62A/2014/0001,16780598,16823230,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823231,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823233,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823234,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823238,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823239,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823243,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823244,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823245,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823246,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823247,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823249,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823250,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823251,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823252,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823253,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823254,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823255,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823256,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823257,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823258,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823259,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823260,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823261,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823262,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823263,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823264,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823265,NULL,00:00.0,Published,NULL,NULL
S62A/2014/0001,16780598,16823266,NULL,00:00.0,Published,NULL,NULL
S62A/2014/0001,16780598,16823267,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823268,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823269,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823270,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823271,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823272,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823273,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823274,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823275,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823276,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823277,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823278,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823280,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823281,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823282,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823283,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823284,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823286,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823332,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823333,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823334,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823335,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823336,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823337,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823338,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823339,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823343,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823582,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823583,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823584,NULL,NULL,Ready,NULL,NULL
S62A/2014/0001,16780598,16823585,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823586,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823587,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823588,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823589,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823590,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823591,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823592,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823593,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823594,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823596,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823597,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823598,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823599,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823600,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823601,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823602,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823603,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823604,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823605,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823606,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823607,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823608,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823609,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823610,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823611,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823612,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823613,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823614,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823615,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823616,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823617,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823618,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823619,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823620,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823621,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823622,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823623,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823624,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823625,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823626,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823627,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823628,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823629,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823630,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823631,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823632,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823633,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823634,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823635,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823636,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823637,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823638,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823639,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823640,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823641,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823642,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823643,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823644,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823645,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823646,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823647,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823648,NULL,NULL,Published,NULL,NULL
S62A/2014/0001,16780598,16823649,NULL,NULL,Published,NULL,NULL
