CaseUniqueId,CaseNodeId,CaseReference,ApplicationDescription,ApplicationNumber,ApplicationType,ApplicationValidated,LPACode,LPACrossReference,LPAName,PermissionSought,PreApplicationAdviceGiven,Procedure,Status
3153419,16780598,S62A/2014/0001,"Ouline planning application with access only. Proposed construction of up to 220 new dwellings (use class C3) and school drop off/pick up zone, with access and associated infrastructure.",S62A/2014/0001,Dwellings Numbering 10 or More,Yes,NULL,NULL,NULL,Outline planning permission with some matters reserved,Yes by PINS,NULL,Decided
3153433,16784769,S62A/2015/0002,Temporary planning permission for the retention of the buildings known as the “Chiller” building and the “Link” building at Seafield Farm for Class B8 Storage and Distribution use until October 2016 ,S62A/2015/0002,Buildings Over 1000 SqM,No,NULL,NULL,NULL,Planning permission,No,NULL,New
3217499,30019296,S62A/2018/0001,NULL,S62A/2018/0001,NULL,No,NULL,NULL,NULL,NULL,No,NULL,NULL
3299621,47666450,S62A/2022/0002,"Conversion of buildings and demolition of buildings to allow redevelopment to provide 96 dwellings, swimming pool and changing facilities, associated recreation facilities, access and landscaping.",S62A/2022/0002,Dwellings numbering 10 or more,Yes,C1570,UTT/22/1040/PINS,Uttlesford District Council,Planning permission,No,Hearing,Consultation period open
3299676,47687427,S62A/2022/0003,NULL,S62A/2022/0003,NULL,No,NULL,NULL,NULL,NULL,No,NULL,Closed - Opened in Error
3299677,47687098,S62A/2022/0004,"The erection of a 14.3 MW solar photovoltaic farm with associated access tracks, landscaping, supplementary battery storage, and associated infrastructure.",S62A/2022/0004,Other (Major Development),Yes,C1570,UTT/22/1474/PINS,Uttlesford District Council,Planning permission,No,Hearing,Decided
3302145,48186011,S62A/2022/0005,Full planning application proposing the erection of 15 new dwellings,S62A/2022/0005,Dwellings numbering 10 or more,No,C1570,UTT/22/1897/PINS,Uttlesford District Council,Planning permission,No,Written representations,Consultation period open
3302195,48191557,S62A/2022/0006,"Development of a ground mounted solar farm with a generation capacity of up to 49.99MW, together with associated infrastructure and landscaping.",S62A/2022/0006,Other (Major Development),Yes,C1570,UTT/22/2046/PINS,Uttlesford District Council,Planning permission,No,Hearing,Consultation period open
3304231,48602178,S62A/2022/0007,"Residential development comprising 130 dwellings, together with a new vehicular access from Henham Road, public open space, landscaping and associated highways, drainage and other infrastructure works (all matters reserved for subsequent approval apart from the primary means of access, on land to the south of Henham Road, Elsenham)",S62A/2022/0007,Dwellings numbering 10 or more,No,C1570,UTT/22/2174/PINS ,Uttlesford District Council,Outline planning permission with some matters reserved,No,Hearing,Consultation period open
3304712,48694926,S62A/2022/0008,"Installation and operation of a Solar Farm facility together with all associated works, 
equipment and necessary infrastructure (49.99 MW)",S62A/2022/0008,NULL,No,C1570,NULL,Uttlesford District Council,NULL,No,Written representations,Pre-Application
3304713,48695239,S62A/2022/0009,"Installation and operation of a Solar Farm facility together with all associated works, equipment and necessary infrastructure (49.99MW)",S62A/2022/0009,NULL,No,C1570,NULL,Uttlesford District Council,NULL,No,Written representations,Pre-Application
3306318,49053582,S62A/2022/0010,proposed development of up to 10 residential dwellings ,S62A/2022/0010,Dwellings numbering 10 or more,No,C1570,NULL,Uttlesford District Council,NULL,No,Written representations,Pre-Application
3307113,49206759,S62A/2022/0011,"Construction and operation of a solar farm comprising ground mounted solar photovoltaic (PV) arrays and battery storage together with associated development, including inverter cabins, DNO substation, customer switchgear, access, fencing, CCTV cameras and landscaping",S62A/2022/0011,Other (Major Development),No,C1570,NULL,Uttlesford District Council,Planning permission,No,Written representations,Decided
3308111,49419637,S62A/2022/0012,"Outline Planning Application with all matters Reserved except for the Primary means of access for the development of up to 200 residential dwellings along with landscaping, public open space and associated infrastructure works. ",S62A/2022/0012,Dwellings numbering 10 or more,Yes,C1570,UTT/22/2760/PINS,Uttlesford District Council,Outline planning permission with some matters reserved,No,Hearing,Consultation period open
3308658,49521922,S62A/2022/0013,"Residential development comprising 59 dwellings (of which 40% will be affordable dwellings), with public open space ncorporating a trim trail, and associated infrastructure",S62A/2022/0013,NULL,No,C1570,UTT/22/2853/PA,Uttlesford District Council,NULL,Yes by PINS,Written representations,Pre-Application
3312130,50231527,S62A/2022/0014,"Outline application for the erection of up to 170 dwellings with access from Thaxted Road with all other matters reserved.  (Original description was ""The erection of up to 170 dwellings, associated landscaping and open space with access from Thaxted Road"")",S62A/2022/0014,Dwellings numbering 10 or more,No,C1570,UTT/22/3258/PINS,Uttlesford District Council,Outline planning permission with some matters reserved,Yes by LPA,Hearing,Decided
3315672,51013116,S62A/2023/0015,"Application for outline planning permission for the erection of 18 dwellings including provision of access road, car parking and residential amenity space, a drainage pond, and communal open space, with all matters reserved for subsequent approval except for means of access and layout.",S62A/2023/0015,Dwellings numbering 10 or more,No,C1570,UTT/23/0246/PINS,Uttlesford District Council,Outline planning permission with some matters reserved,No,Written representations,Application being assessed
3319907,51916497,S62A/2023/0016,"Erection of 40no. dwellings, including open space landscaping and associated infrastructure.
",S62A/2023/0016,Dwellings numbering 10 or more,No,C1570,UTT/23/0902/PINS,Uttlesford District Council,Planning permission,No,Hearing,New
3319999,51937925,S62A/2023/0017,Development of the site to create an open logistics facility with associated new access and ancillary office and amenity facilities,S62A/2023/0017,Other (Major Development),No,C1570,UTT/23/0950/PINS,Uttlesford District Council,Planning permission,No,Hearing,Hearing date set
3320120,51968439,S62A/2023/0018,"The development of up to 31 no residential dwellings with all matters reserved for subsequent approval, except for vehicular access from Pines Hill which is submitted in detail.",S62A/2023/0018,Dwellings numbering 10 or more,No,C1570,UTT/23/0966/PINS,Uttlesford District Council,Outline planning permission with some matters reserved,No,Written representations,New
3324434,52887835,S62A/2023/0019,"Access to/from Parsonage Road between Weston Group Business Centre and Innovation Centre buildings leading to: 96 dwellings on Bulls Field, south of Prior’s Wood, including associated parking, landscaping, public open space, land for the expansion of Roseacres Primary School, pedestrian and cycle routes to Smiths Green Lane together with associated infrastructure",S62A/2023/0019,Dwellings numbering 10 or more,No,C1570,UTT/23/1583/PINS,Uttlesford District Council,Planning permission,No,Hearing,Hearing date set
3325259,53087260,S62A/2023/0020,"Partial demolition of the existing Track Transit System, full demolition of 2 no. skylink walkways and the bus-gate building; construction of extension to existing passenger terminal, new Domestic Reclaim Building, new energy centre, 3 no. new skylink walkways and associated hardstanding.",S62A/2023/0020,NULL,No,C1570,NULL,Uttlesford District Council,NULL,No,NULL,Withdrawn
3326157,53280239,S62A/2023/0021,"Application for the approval of reserved matters for appearance, landscaping, layout and scale for 160 dwellings and a countryside park pursuant to conditions 1 and 2 of outline planning permission UTT/21/3596/OP",S62A/2023/0021,Dwellings numbering 10 or more,No,C1570,UTT/23/1848/PINS,Uttlesford District Council,Approval of reserved matters following outline approval,No,Hearing,Hearing date set
3326935,53448038,S62A/2023/0022,"Partial demolition of the existing Track Transit System and full demolition of 2 no. skylink walkways and the bus-gate building.  Construction of a 3-bay extension to the existing passenger building, baggage handling building, plant enclosure and 3 no. skylink walkways and associated hardstanding.",S62A/2023/0022,Other (Major Development),No,C1570,UTT/23/1970/PINS,Uttlesford District Council,Planning permission,No,Hearing,Decided
3328288,53737478,S62A/2023/0023,Erection of 5 residential dwellings and associated infrastructure,S62A/2023/0023,Dwellings of 0.5 hectare or more,No,C1570,UTT/23/2193/PINS,Uttlesford District Council,Planning permission,No,Hearing,Consultation period open
3329554,54018500,S62A/2023/0024,"Residential led development for ‘build to rent’ accommodation, with wider community facilities within the village centre of Rickling Green. The proposals seek to provide up to 110 dwellings, a recreational facilities and other associated community facilities",S62A/2023/0024,NULL,No,C1570,NULL,Uttlesford District Council,NULL,No,NULL,New
3331210,54383533,S62A/2023/0025,"Outline planning application with all matters reserved except access for up to 28 dwellings (class C3) including public open space, sustainable drainage systems, landscaping and associated infrastructure and development",S62A/2023/0025,Dwellings numbering 10 or more,No,C1570,UTT/23/2616/PINS,Uttlesford District Council,Outline planning permission with some matters reserved,No,Hearing,Consultation period open
