CaseUniqueId,CaseNodeId,CaseReference,Name,caseCategory
3153419,16780598,S62A/2014/0001,S62A/2014/0001/Hospital Lane Blaby,NULL
3153433,16784769,S62A/2015/0002,S62A/2015/0002/Seafield Farm Beoley,NULL
3170466,20368079,S62A/2017/0001,NULL,NULL
3217499,30019296,S62A/2018/0001,S62A/2018/0001/TEST CASE - DO NOT USE,NULL
3299621,47666450,S62A/2022/0002,"S62A/2022/0002/S62A/22/0000002 - Former Friends’ School, Mount Pleasant Rd, Saffron Walden CB11 3EB",NULL
3299676,47687427,S62A/2022/0003,S62A/2022/0003/Test case do not use,NULL
3299677,47687098,S62A/2022/0004,"S62A/2022/0004/Land east of Parsonage Road, and south of Hall Road, Stansted, Essex, CM22 6PL",NULL
3302145,48186011,S62A/2022/0005,"S62A/2022/0005/Land at Canfield Moat, High Cross Lane West, Little Canfield, Essex, CM6 1TD",NULL
3302195,48191557,S62A/2022/0006,S62A/2022/0006/Berden Solar,NULL
3304231,48602178,S62A/2022/0007,"S62A/2022/0007/Land to the south of Henham Road, Elsenham, Essex",NULL
3304712,48694926,S62A/2022/0008,"S62A/2022/0008/(pre-app) Draper’s Farm, Rayne, Essex, CM77 6SN",pre-app
3304713,48695239,S62A/2022/0009,"S62A/2022/0009/(pre-app) Land at Lord Rayleigh’s Farm, Dunmow, Essex, CM6 3JZ",pre-app
3306318,49053582,S62A/2022/0010,"S62A/2022/0010/(pre-app) land to the south of Birchanger Lane, Birchanger, Essex, CM23 5QH",pre-app
3307113,49206759,S62A/2022/0011,"S62A/2022/0011/Land Near Pelham Substation, Maggots End Road, Manuden",NULL
3308111,49419637,S62A/2022/0012,"S62A/2022/0012/Land East of Station Road, Elsenham",NULL
3308658,49521922,S62A/2022/0013,"S62A/2022/0013/(pre-app) Land at Cox Ley, Hatfield Heath, Bishop’s Stortford",pre-app
3312130,50231527,S62A/2022/0014,"S62A/2022/0014/Land West of Thaxted Road, Saffron Walden",NULL
3315672,51013116,S62A/2023/0015,"S62A/2023/0015/Grange Paddock, Ickleton Road, Elmdon, Essex, CB11 4GR",NULL
3319907,51916497,S62A/2023/0016,"S62A/2023/0016/Warish Hall Farm, Smiths Green Lane, Takeley, Essex, CM22 6NZ",NULL
3319999,51937925,S62A/2023/0017,"S62A/2023/0017/Land at Tilekiln Green, Start Hill, Great Hallingbury, CM22 7TA",NULL
3320120,51968439,S62A/2023/0018,"S62A/2023/0018/Land East of Pines Hill, Stansted Mountfitchet, CM24 8EY",NULL
3324434,52887835,S62A/2023/0019,"S62A/2023/0019/Land to the north of Roseacres, between Parsonage Road and Smiths Green Lane, Takeley, Essex (Land known as Bull Field, Warish Hall Farm, Takeley, Essex)",NULL
3325259,53087260,S62A/2023/0020,"S62A/2023/0020/(pre-app) Stansted Airport, Bassingbourn Road, Stansted, CM24 1QW",pre-app
3326157,53280239,S62A/2023/0021,"S62A/2023/0021/Moors Field, Station Road, Little Dunmow, Essex",NULL
3326935,53448038,S62A/2023/0022,"S62A/2023/0022/London Stansted Airport, Bassingbourn Road, Stansted, Essex, CM24 1QW",NULL
3328288,53737478,S62A/2023/0023,"S62A/2023/0023/Eastfield Stables, May Walk, Elsenham Road, Essex, CM24 8SS",NULL
3329554,54018500,S62A/2023/0024,"S62A/2023/0024/(pre-app) Belcham’s Lane and Maces Farm, Rickling Green, Newport, CB11 3YG",pre-app
3331210,54383533,S62A/2023/0025,"S62A/2023/0025/Land North of Eldridge Close, Stickling Green, Clavering, Essex",NULL
3331286,54403436,S62A/2023/0026,"S62A/2023/0026/Land West of Robin Hood Road, Elsenham",NULL
3331617,54474698,S62A/2023/0027,"S62A/2023/0027/Warish Hall Farm, Smiths Green Lane, Takeley, Essex, CM22 6NZ",NULL
3332644,54724677,S62A/2023/0028,"S62A/2023/0028/Land off Chelmsford Road, Hartford End, Chelmsford, Essex",NULL
3334060,55047106,S62A/2023/0029,"S62A/2023/0029/Brick House Farm, Cock Green, Felsted, Essex",NULL
3334582,55156834,S62A/2023/0030,"S62A/2023/0030/Land to the west of Clatterbury Lane, Clavering, Essex",NULL
3334584,55155356,S62A/2023/0031,"S62A/2023/0031/Land North of Thaxted Road, Saffron Walden",NULL
3336795,55621655,S62A/2024/0032,"S62A/2024/0032/Land to the West of Mill Lane, Hatfield Heath",NULL
3338453,55991839,S62A/2024/0033,"S62A/2024/0033/(pre-app) Land at Wickham Hall, Bishops Stortford, Hertfordshire, CM23 1JG",pre-app
3340881,56525542,S62A/2024/0034,"S62A/2024/0034/57 The Old Port House, Prince Street, Bristol, BS1 4QH",NULL
3341124,56582935,S62A/2024/0035,"S62A/2024/0035/(pre-app) Canfield Moat, High Cross Lane, Little Canfield, Dunmow, Essex, CM6 1TD",pre-app
3341243,0,S62A/2024/0036,NULL,NULL
3341246,56607516,S62A/2024/0038,"S62A/2024/0038/396 Hotwell Road, Clifton, Bristol",NULL
3341247,56606826,S62A/2024/0039,"S62A/2024/0039/396 Hotwell Road, Clifton, Bristol",NULL
3341452,56658251,S62A/2024/0040,"S62A/2024/0040/Promenade House, Clifton Down, Bristol BS8 3NE",NULL
3343084,57051113,S62A/2024/0041,"S62A/2024/0041/20 Conway Road, Brislington, Bristol City, Bristol BS4 3RF",NULL
3343222,57077269,S62A/2024/0042,S62A/2024/0042/LBC 57 The Old Port House Prince Street City Centre Bristol,listed-building
3343736,57194970,S62A/2024/0043,"S62A/2024/0043/85 Ruby Street, Bristol, BS3 3DW",NULL
3344956,57473948,S62A/2024/0044,"S62A/2024/0044/87 Queenshill Road, Bristol BS4 2XQ",NULL
