CaseUniqueId,CaseNodeId,CaseReference,DateReceived,DateValid,DateInfoSentToLPA,DateInfoReturnedFromLPA,DateNeighboursNotified,NewspaperAdvertDate,SiteNoticeDate,PublicityForApplicationsDate,ConsultationsWithRelevantAuthoritiesDate,RepresentationPeriodClose,HearingDate,MineralNotificationDate,RepresentationsPublishedDate,TargetDecisionDate,PPATargetDecisionDate,EoTTargetDate,DecisionDate,RepresentationPeriodOpen,DecisionType,Article21Trigger
3153419,16780598,S62A/2014/0001,23/04/2014,23/04/2014,23/04/2014,30/04/2014,25/04/2014,02/05/2014,25/04/2014,23/04/2014,24/04/2014,16/05/2014,17/06/2014,NULL,16/05/2014,24/07/2014,NULL,07/08/2014,22/07/2014,NULL,Refused,NULL
3153433,16784769,S62A/2015/0002,01/07/2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3217499,30019296,S62A/2018/0001,NULL,NULL,NULL,NULL,NULL,NULL,21/11/2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3299621,47666450,S62A/2022/0002,11/04/2022,21/04/2022,12/04/2022,19/04/2022,28/04/2022,05/05/2022,28/04/2022,25/04/2022,27/04/2022,25/05/2022,25/08/2022,NULL,NULL,13/10/2022,NULL,13/10/2022,11/10/2022,NULL,Approved With Conditions,20/10/2022
3299677,47687098,S62A/2022/0004,23/05/2022,01/06/2022,24/05/2022,31/05/2022,07/06/2022,16/06/2022,08/06/2022,07/06/2022,07/06/2022,07/07/2022,09/08/2022,NULL,08/07/2022,31/08/2022,NULL,NULL,24/08/2022,NULL,Approved With Conditions,30/11/2022
3302145,48186011,S62A/2022/0005,05/07/2022,01/11/2022,08/11/2022,15/11/2022,08/11/2022,17/11/2022,09/11/2022,NULL,08/11/2022,06/12/2022,NULL,NULL,06/12/2022,01/02/2023,NULL,30/06/2023,27/06/2023,NULL,Refused,NULL
3302195,48191557,S62A/2022/0006,07/07/2022,15/11/2023,28/11/2023,NULL,NULL,07/12/2023,NULL,NULL,28/11/2023,08/01/2024,26/03/2024,NULL,NULL,NULL,NULL,NULL,18/07/2024,NULL,Approved,NULL
3304231,48602178,S62A/2022/0007,29/07/2022,17/08/2022,02/08/2022,08/08/2022,26/08/2022,08/09/2022,26/08/2022,24/08/2022,25/08/2022,23/09/2022,10/05/2023,NULL,23/09/2022,16/11/2022,NULL,16/06/2023,14/06/2023,NULL,Approved With Conditions,NULL
3304712,48694926,S62A/2022/0008,02/08/2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3306318,49053582,S62A/2022/0010,02/09/2022,02/09/2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
