File,Column
20260716_query_s62A_app_doc_data.csv,DocumentID
20260716_query_s62A_app_doc_data.csv,DocumentDescription
20260716_query_s62A_app_doc_data.csv,DocumentRefNo
20260716_query_s62A_app_doc_data.csv,DocumentAuthor
20260716_query_s62A_app_doc_data.csv,DocumentDate
20260716_query_s62A_app_doc_data.csv,DocumentCategory
20260716_query_s62A_app_doc_data.csv,DocumentType
20260716_query_s62A_basic_data.csv,ApplicationNumber
20260716_query_s62A_basic_data.csv,ApplicationValidated
20260716_query_s62A_basic_data.csv,LPACode
20260716_query_s62A_basic_data.csv,LPACrossReference
20260716_query_s62A_case_involvement_o.csv,ID
20260716_query_s62A_case_involvement_o.csv,TypeOfInvolvement
20260716_query_s62A_case_involvement_o.csv,InvolvementStartDate
20260716_query_s62A_case_involvement_o.csv,InvolvementEndDate
20260716_query_s62A_case_involvement_o.csv,CommunicationPreference
20260716_query_s62A_case_involvement_o.csv,ExternalReferenceNumber
20260716_query_s62A_case_involvement_o.csv,ContactID
20260716_query_s62A_case_involvement_o.csv,ID.1
20260716_query_s62A_case_involvement_o.csv,Name
20260716_query_s62A_case_involvement_o.csv,OrganisationTypeID
20260716_query_s62A_case_involvement_o.csv,LPACode
20260716_query_s62A_case_involvement_o.csv,POBox
20260716_query_s62A_case_involvement_o.csv,Country
20260716_query_s62A_case_involvement_o.csv,TelephoneOffice
20260716_query_s62A_case_involvement_o.csv,Fax
20260716_query_s62A_case_involvement_o.csv,PublishFlag
20260716_query_s62A_case_involvement_o.csv,LastUpdatedByID
20260716_query_s62A_case_involvement_p.csv,ID
20260716_query_s62A_case_involvement_p.csv,TypeOfInvolvement
20260716_query_s62A_case_involvement_p.csv,InvolvementEndDate
20260716_query_s62A_case_involvement_p.csv,CommunicationPreference
20260716_query_s62A_case_involvement_p.csv,ExternalReferenceNumber
20260716_query_s62A_case_involvement_p.csv,ContactID
20260716_query_s62A_case_involvement_p.csv,P_ID
20260716_query_s62A_case_involvement_p.csv,PostName
20260716_query_s62A_case_involvement_p.csv,Title
20260716_query_s62A_case_involvement_p.csv,Salutation
20260716_query_s62A_case_involvement_p.csv,Suffix
20260716_query_s62A_case_involvement_p.csv,TelephoneOffice
20260716_query_s62A_case_involvement_p.csv,TelephoneMobile
20260716_query_s62A_case_involvement_p.csv,Fax
20260716_query_s62A_case_involvement_p.csv,POBox
20260716_query_s62A_case_involvement_p.csv,Country
20260716_query_s62A_case_involvement_p.csv,OrganisationID
20260716_query_s62A_case_involvement_p.csv,PublishFlag
20260716_query_s62A_case_involvement_p.csv,LastUpdatedByID
20260716_query_s62A_case_involvement_p.csv,Unnamed: 30
20260716_query_s62A_case_reference_list.csv,Name
20260716_query_s62A_comment.csv,DocumentID
20260716_query_s62A_comment.csv,Name
20260716_query_s62A_comment.csv,Address
20260716_query_s62A_comment.csv,EmailAddress
20260716_query_s62A_comment.csv,CommentOriginal
20260716_query_s62A_comment.csv,CommentRedacted
20260716_query_s62A_comment.csv,RedactionComplete
20260716_query_s62A_comment.csv,RedactedBy
20260716_query_s62A_comment.csv,RedactionReason
20260716_query_s62A_comment.csv,WantsNotification
20260716_query_s62A_comment.csv,ApplicationID
20260716_query_s62A_comment.csv,RequestToAppearAtHearing
20260716_query_s62A_comment.csv,CreateDate
20260716_query_s62A_comment.csv,DoNotPublish
20260716_query_s62A_comment.csv,Notes
20260716_query_s62A_comment.csv,IWantTo
20260716_query_s62A_comment.csv,MyRole
20260716_query_s62A_extended_data.csv,ProposalDescription
20260716_query_s62A_extended_data.csv,TotalExistingResidentialUnits
20260716_query_s62A_fees.csv,ApplicationFeeReceived
20260716_query_s62A_hearings.csv,EndDate
20260716_query_s62A_hearings.csv,Notes
20260716_query_s62A_publish_docs.csv,DocumentID
20260716_query_s62A_publish_docs.csv,DocumentReferenceNumber
20260716_query_s62A_publish_docs.csv,WebsiteDateOverride
20260716_query_s62A_publish_docs.csv,Publish
20260716_query_s62A_publish_docs.csv,DocumentType
20260716_query_s62A_publish_docs.csv,Comment
20260902_query_s62A_case_involvement.csv,TypeOfInvolvement
20260902_query_s62A_case_involvement.csv,GroupedTypeOfInvolvement
20260902_query_s62A_case_involvement.csv,ContactID
20260902_query_s62A_case_involvement.csv,ContactType
20260902_query_s62A_case_involvement.csv,Country
20260902_query_s62A_case_involvement.csv,LastUpdatedByID
20260902_query_s62A_case_involvement.csv,Postcode
