Sheet,Column
Application (Major),Pre-application advice?
Application (Major),Pre-application reference
Application (Major),Estimated fee
Application (Major),Expected submission date (not before)
Application (Major),Date Insp allocated
Application (Major),SAP8 to SAP Helpdesk
Application (Major),SAP5 to FSSD
Application (Major),Any confidential docs?
Application (Major),EIA - screening request sent to EST (confirm with EST when application valid)
Application (Major),EIA outcome (publish any letter to gov.uk)
Application (Major),LPA Interested parties notification date
Application (Major),PINS Interested parties press notice placed and TMP ref
Application (Major),TMP amount (not including VAT)
Application (Major),Inspector USV or ARSV date (if needed)
Application (Major),Reconsultation details
Application (Major),Target decision date (13 or 16 weeks from valid)
Application (Major),Time taken from valid to decision
Application (Major),Comments/Notes
Application (Non Major),Pre-application advice?
Application (Non Major),Pre-application reference
Application (Non Major),Estimated fee
Application (Non Major),Expected submission date (not before)
Application (Non Major),Inspector / Planning Offcier
Application (Non Major),Date Insp assigned
Application (Non Major),SAP8 to SAP Helpdesk
Application (Non Major),SAP5 to FSSD / Fee requested by BACS
Application (Non Major),Valid / Validation Date
Application (Non Major),Any confidential docs?
Application (Non Major),EIA - screening request sent to EST (confirm with EST when application valid)
Application (Non Major),EIA outcome (publish any letter to gov.uk)
Application (Non Major),LPA Interested parties notification date
Application (Non Major),PINS Interested parties press notice placed and TMP ref
Application (Non Major),TMP amount (not including VAT)
Application (Non Major),Inspector USV or ARSV date (if needed)
Application (Non Major),Reconsultation details
Application (Non Major),Target decision date (8 weeks from valid)
Application (Non Major),Time taken from valid to decision
Application (Non Major),Comments/Notes
Pre-application - DONE,Expected submission date
Pre-application - DONE,Date Charging schedule sent to applicant
Pre-application - DONE,Proceed Yes/No?
Pre-application - DONE,LPA comments due
Pre-application - DONE,Set up as customer for invoicing? (SAP 8)
Pre-application - DONE,EIA
Pre-application - DONE,Site Visit
Pre-application - DONE,Meeting
Pre-application - DONE,Advice issued date
Pre-application - DONE,Invoice SAP5 to FSSD/Payables for forwarding to Applicant
Pre-application - DONE,Amount Invoiced
